Timestamp,Fuerza_N
15:36:18.502650,3.06
15:36:18.517940,3.06
15:36:18.537425,3.06
15:36:18.553002,3.06
15:36:18.566013,3.06
15:36:18.628692,3.06
15:36:18.653325,2.195
15:36:18.666344,2.195
15:36:18.683856,3.06
15:36:18.704337,3.06
15:36:18.716337,3.06
15:36:18.731493,3.06
15:36:18.752936,3.06
15:36:18.766052,3.06
15:36:18.794454,3.06
15:36:18.815557,3.06
15:36:18.828891,3.06
15:36:18.844445,2.195
15:36:18.857703,3.06
15:36:18.873712,3.06
15:36:18.891777,3.06
15:36:18.907292,3.06
15:36:18.923655,3.06
15:36:18.939543,3.06
15:36:18.961237,3.06
15:36:18.989638,2.195
15:36:19.002582,3.06
15:36:19.042161,3.06
15:36:19.084245,3.06
15:36:19.109286,3.06
15:36:19.130334,2.195
15:36:19.143917,2.195
15:36:19.160384,3.06
15:36:19.183447,3.06
15:36:19.207229,3.06
15:36:19.219243,3.06
15:36:19.234802,3.06
15:36:19.253467,3.06
15:36:19.269466,3.06
15:36:19.285554,3.06
15:36:19.301712,3.06
15:36:19.317723,3.06
15:36:19.331731,3.06
15:36:19.347294,3.06
15:36:19.360817,3.06
15:36:19.378210,3.06
15:36:19.394660,3.06
15:36:19.424321,3.06
15:36:19.439817,3.06
15:36:19.450455,3.06
15:36:19.468479,3.06
15:36:19.487372,3.06
15:36:19.504896,3.06
15:36:19.517902,3.06
15:36:19.532950,3.06
15:36:19.548476,3.06
15:36:19.566999,3.06
15:36:19.584053,3.06
15:36:19.601068,3.06
15:36:19.614178,3.06
15:36:19.628208,3.06
15:36:19.642731,3.06
15:36:19.779504,3.06
15:36:19.856054,2.195
15:36:19.909127,3.06
15:36:19.924131,2.195
15:36:19.938362,2.195
15:36:19.953791,2.195
15:36:19.969825,2.195
15:36:19.984353,2.195
15:36:20.001320,2.195
15:36:20.021392,2.195
15:36:20.043603,2.195
15:36:20.080261,3.06
15:36:20.112796,3.06
15:36:20.127312,2.195
15:36:20.140240,2.195
15:36:20.163427,3.06
15:36:20.180957,2.195
15:36:20.204392,2.195
15:36:20.221405,2.195
15:36:20.231839,2.195
15:36:20.253266,2.195
15:36:20.267257,2.195
15:36:20.279324,2.195
15:36:20.297638,2.195
15:36:20.321176,2.195
15:36:20.362373,2.195
15:36:20.376377,2.195
15:36:20.389432,2.195
15:36:20.411977,2.195
15:36:20.467888,3.06
15:36:20.483452,2.195
15:36:20.501605,2.195
15:36:20.515207,3.06
15:36:20.530227,2.195
15:36:20.553326,2.195
15:36:20.577041,2.195
15:36:20.588074,2.195
15:36:20.613932,2.195
15:36:20.624898,2.195
15:36:20.640127,2.195
15:36:20.650419,2.195
15:36:20.665436,2.195
15:36:20.686150,2.195
15:36:20.703129,2.195
15:36:20.717126,2.195
15:36:20.732878,2.195
15:36:20.772944,2.195
15:36:20.859673,2.195
15:36:20.869673,2.195
15:36:20.887784,2.195
15:36:20.902907,2.195
15:36:20.917565,2.195
15:36:20.933404,2.195
15:36:20.948766,2.195
15:36:20.963659,2.195
15:36:20.979050,2.195
15:36:20.995391,2.195
15:36:21.037514,2.195
15:36:21.084260,2.195
15:36:21.104874,2.195
15:36:21.118869,2.195
15:36:21.136023,2.195
15:36:21.155562,2.195
15:36:21.174575,2.195
15:36:21.198871,2.195
15:36:21.215423,2.195
15:36:21.228515,2.195
15:36:21.243594,2.195
15:36:21.258972,2.195
15:36:21.274503,2.195
15:36:21.295061,2.195
15:36:21.308626,2.195
15:36:21.330655,2.195
15:36:21.360091,2.195
15:36:21.391803,2.195
15:36:21.412939,2.195
15:36:21.428585,2.195
15:36:21.443557,2.195
15:36:21.458777,2.195
15:36:21.475561,2.195
15:36:21.497388,2.195
15:36:21.524557,2.195
15:36:21.536969,2.195
15:36:21.552291,2.195
15:36:21.569389,3.06
15:36:21.583168,2.195
15:36:21.599200,2.195
15:36:21.614671,2.195
15:36:21.631630,2.195
15:36:21.648462,2.195
15:36:21.670011,2.195
15:36:21.693088,2.195
15:36:21.710252,2.195
15:36:21.766994,2.195
15:36:21.788509,2.195
15:36:21.802078,2.195
15:36:21.818060,2.195
15:36:21.832063,2.195
15:36:21.848119,2.195
15:36:21.864333,2.195
15:36:21.878244,2.195
15:36:21.893743,2.195
15:36:21.905174,2.195
15:36:21.917686,2.195
15:36:21.939554,2.195
15:36:21.955269,2.195
15:36:21.979918,2.195
15:36:22.002708,2.195
15:36:22.035290,2.195
15:36:22.048447,2.195
15:36:22.063656,2.195
15:36:22.078752,2.195
15:36:22.094129,2.195
15:36:22.118012,2.195
15:36:22.140267,2.195
15:36:22.155841,2.195
15:36:22.172169,2.195
15:36:22.189857,2.195
15:36:22.202865,2.195
15:36:22.237404,2.195
15:36:22.250921,2.195
15:36:22.266034,2.195
15:36:22.281778,2.195
15:36:22.297445,2.195
15:36:22.312994,2.195
15:36:22.329018,3.06
15:36:22.348121,2.195
15:36:22.359475,3.06
15:36:22.375058,2.195
15:36:22.391487,2.195
15:36:22.408018,3.06
15:36:22.423006,3.06
15:36:22.439808,3.06
15:36:22.452825,3.06
15:36:22.473897,3.06
15:36:22.513592,3.924
15:36:22.533613,3.924
