Timestamp,Fuerza_N
15:40:31.958387,0.933
15:40:31.973899,0.933
15:40:31.985723,0.933
15:40:31.998231,0.933
15:40:32.010254,0.069
15:40:32.021746,0.933
15:40:32.036273,0.933
15:40:32.048255,0.069
15:40:32.065751,0.069
15:40:32.081138,0.069
15:40:32.097623,0.933
15:40:32.110643,0.069
15:40:32.128140,0.933
15:40:32.141680,0.069
15:40:32.157698,0.069
15:40:32.173574,0.069
15:40:32.189779,0.933
15:40:32.203925,0.069
15:40:32.226406,0.933
15:40:32.250950,0.933
15:40:32.267147,0.933
15:40:32.282439,0.069
15:40:32.297965,0.933
15:40:32.312969,0.933
15:40:32.329146,0.933
15:40:32.344005,0.069
15:40:32.359994,0.933
15:40:32.375542,0.069
15:40:32.391051,0.933
15:40:32.408360,0.933
15:40:32.420873,0.933
15:40:32.438386,0.069
15:40:32.453405,0.933
15:40:32.468374,0.933
15:40:32.483458,0.933
15:40:32.498990,0.933
15:40:32.515684,0.933
15:40:32.532989,0.933
15:40:32.547983,0.933
15:40:32.562036,0.933
15:40:32.582602,0.933
15:40:32.595156,0.933
15:40:32.614869,0.933
15:40:32.643435,0.933
15:40:32.656460,0.933
15:40:32.671993,0.069
15:40:32.685558,0.933
15:40:32.702107,0.069
15:40:32.719657,0.933
15:40:32.732213,0.069
15:40:32.747212,0.933
15:40:32.763214,0.933
15:40:32.778778,0.933
15:40:32.795862,0.933
15:40:32.809912,0.933
15:40:32.826450,0.933
15:40:32.840996,0.933
15:40:32.858022,0.069
15:40:32.873318,0.069
15:40:32.889248,0.933
15:40:32.905271,0.933
15:40:32.919500,0.933
15:40:32.935328,0.933
15:40:32.950370,0.933
15:40:32.965892,0.933
15:40:32.981503,0.933
15:40:32.996555,0.933
15:40:33.013562,0.069
15:40:33.033087,0.933
15:40:33.044638,0.069
15:40:33.059659,0.933
15:40:33.086697,0.069
15:40:33.101091,0.933
15:40:33.121106,0.069
15:40:33.136267,0.069
15:40:33.153276,0.933
15:40:33.168184,0.069
15:40:33.185818,0.933
15:40:33.201009,0.933
15:40:33.227171,0.933
15:40:33.254739,0.933
15:40:33.269278,0.933
15:40:33.285277,0.933
15:40:33.339278,0.069
15:40:33.388375,0.933
15:40:33.418468,0.933
15:40:33.450413,0.069
15:40:33.469675,0.933
15:40:33.508773,0.933
15:40:33.527898,1.798
15:40:33.543203,0.933
15:40:33.558225,0.933
15:40:33.574775,0.933
15:40:33.592328,0.069
15:40:33.627353,0.933
15:40:33.642550,0.069
15:40:33.665101,0.933
15:40:33.683644,0.069
15:40:33.699153,0.933
15:40:33.713475,0.933
15:40:33.729489,0.069
15:40:33.744005,0.933
15:40:33.759993,0.933
15:40:33.776926,0.933
15:40:33.791474,0.933
15:40:33.806547,0.933
15:40:33.822607,0.069
15:40:33.839663,0.933
15:40:33.878206,0.933
15:40:33.903322,0.933
15:40:33.930839,0.933
15:40:33.948382,0.069
15:40:33.965765,0.933
15:40:33.978333,0.933
15:40:33.996088,0.069
15:40:34.012659,0.933
15:40:34.026532,0.933
15:40:34.041710,0.933
15:40:34.059715,0.933
15:40:34.073646,0.933
15:40:34.089271,0.933
15:40:34.104838,0.069
15:40:34.121273,0.933
15:40:34.137299,0.933
15:40:34.150867,0.933
15:40:34.166431,0.069
15:40:34.180991,0.933
15:40:34.200582,0.933
15:40:34.212776,0.933
15:40:34.228606,0.069
15:40:34.244224,0.069
15:40:34.260281,0.933
15:40:34.276806,0.933
15:40:34.290334,0.069
15:40:34.305894,0.933
15:40:34.322274,0.933
15:40:34.337426,0.069
15:40:34.352429,0.933
15:40:34.367972,0.069
15:40:34.383522,0.069
15:40:34.399050,0.933
15:40:34.411061,0.933
15:40:34.427457,0.933
15:40:34.446456,0.933
15:40:34.462481,0.069
15:40:34.477599,0.933
15:40:34.492174,0.933
15:40:34.508481,0.069
15:40:34.527126,0.933
15:40:34.540645,0.933
15:40:34.557650,0.933
15:40:34.572167,0.069
15:40:34.586722,0.933
15:40:34.599248,0.933
15:40:34.616795,0.069
15:40:34.634314,0.933
15:40:34.650325,0.933
15:40:34.664862,0.933
15:40:34.680443,0.933
15:40:34.698453,0.933
15:40:34.712017,0.069
15:40:34.724526,0.069
15:40:34.737283,0.933
15:40:34.760523,0.069
15:40:34.774495,0.069
15:40:34.790680,0.069
15:40:34.805281,0.069
15:40:34.822326,0.933
15:40:34.838379,0.069
15:40:34.852381,0.069
15:40:34.869914,0.069
15:40:34.884460,0.069
15:40:34.902301,0.933
15:40:34.931406,0.933
15:40:34.959965,0.069
15:40:34.979307,0.933
15:40:34.993022,0.933
15:40:35.008544,0.933
15:40:35.025637,0.069
15:40:35.038208,0.933
15:40:35.055213,0.069
15:40:35.071167,0.933
15:40:35.087145,0.069
15:40:35.102320,0.933
15:40:35.114822,0.069
15:40:35.133397,0.933
15:40:35.149396,0.069
15:40:35.160400,0.069
15:40:35.173911,0.933
15:40:35.196427,0.069
15:40:35.212540,0.933
15:40:35.228067,0.069
15:40:35.242571,0.069
15:40:35.259127,0.069
15:40:35.273676,0.069
15:40:35.289327,0.069
15:40:35.304401,0.069
15:40:35.319486,0.069
15:40:35.336055,0.933
15:40:35.350752,0.069
15:40:35.365786,0.069
15:40:35.382126,0.069
