Timestamp,Fz,FC3,FCz,FC4,Cz,C3,C4
15:29:54.049622,181840.921875,177553.859375,175224.8125,207033.125,174114.109375,163190.453125,683869.6875,164516.53125,-0.059814453125,1.0,-0.133544921875,-1.4648436307907104,1.4343260526657104,0.7019042372703552,100.0,20253.0,1.0
15:29:54.049632,181821.25,177540.1875,175209.4375,206985.484375,174105.171875,163179.453125,683816.8125,164510.28125,-0.06005859375,0.99951171875,-0.134765625,-1.4648436307907104,1.4343260526657104,0.6408690810203552,100.0,20254.0,1.0
15:29:54.052139,181815.984375,177499.6875,175198.171875,207079.359375,174096.671875,163140.109375,683862.8125,164530.125,-0.06103515625,0.998779296875,-0.1328125,-1.3732908964157104,1.3732908964157104,0.6713866591453552,100.0,20255.0,1.0
15:29:54.052151,181819.921875,177503.53125,175201.5625,207065.3125,174098.46875,163151.296875,683847.75,164521.453125,-0.0615234375,0.997802734375,-0.1337890625,-1.3427733182907104,1.1596678495407104,0.7324218153953552,100.0,20256.0,1.0
15:29:54.061615,181832.515625,177521.859375,175215.421875,207038.140625,174106.59375,163170.515625,683877.125,164508.40625,-0.06103515625,0.99658203125,-0.133544921875,-1.1291502714157104,1.1596678495407104,0.7629393935203552,100.0,20257.0,1.0
15:29:54.064255,181826.171875,177533.203125,175212.46875,206980.109375,174102.65625,163172.921875,683826.0,164503.125,-0.0615234375,0.996826171875,-0.135009765625,-1.0375975370407104,1.0986326932907104,0.9155272841453552,100.0,20258.0,1.0
15:29:54.067813,181817.6875,177521.5,175198.078125,207055.65625,174095.421875,163156.484375,683845.8125,164517.34375,-0.06005859375,0.997802734375,-0.133544921875,-0.9460448622703552,1.0070799589157104,1.0070799589157104,100.0,20259.0,1.0
15:29:54.078380,181821.703125,177514.078125,175203.078125,207060.484375,174099.71875,163160.140625,683834.5625,164527.359375,-0.05908203125,0.998046875,-0.135498046875,-0.8544921278953552,0.8850097060203552,1.0070799589157104,100.0,20260.0,1.0
15:29:54.078388,181855.671875,177564.59375,175234.015625,207078.28125,174120.71875,163192.15625,683872.1875,164537.546875,-0.06005859375,0.99609375,-0.13720703125,-0.7324218153953552,0.7019042372703552,1.1596678495407104,100.0,20261.0,1.0
15:29:54.082227,181849.15625,177566.734375,175234.375,206992.1875,174120.453125,163191.96875,683831.375,164558.015625,-0.060302734375,0.994384765625,-0.13720703125,-0.5187987685203552,0.6713866591453552,1.2207030057907104,100.0,20262.0,1.0
15:29:54.082256,181818.84375,177521.40625,175197.984375,207054.328125,174093.359375,163153.4375,683859.0625,164512.78125,-0.0595703125,0.99365234375,-0.138671875,-0.3967284858226776,0.6713866591453552,1.3122557401657104,100.0,20263.0,1.0
15:29:54.091667,181831.09375,177518.09375,175206.125,207063.171875,174100.96875,163159.515625,683852.375,164520.375,-0.05908203125,0.99365234375,-0.135986328125,-0.2136230319738388,0.6408690810203552,1.3732908964157104,100.0,20264.0,1.0
15:29:54.100199,181873.65625,177553.421875,175244.65625,207124.328125,174134.671875,163195.375,683879.1875,164559.71875,-0.060791015625,0.995361328125,-0.137451171875,-0.03051757626235485,0.5493163466453552,1.5563963651657104,100.0,20265.0,1.0
15:29:54.100205,181846.46875,177546.625,175225.171875,206992.546875,174113.484375,163183.921875,683841.125,164515.828125,-0.0625,0.993896484375,-0.13671875,0.1525878757238388,0.4882812201976776,1.6784666776657104,100.0,20266.0,1.0
15:29:54.100207,181825.109375,177521.40625,175203.171875,207053.34375,174100.515625,163157.28125,683862.1875,164517.703125,-0.061279296875,0.9951171875,-0.135986328125,0.3662109076976776,0.4577636420726776,1.7089842557907104,100.0,20267.0,1.0
15:29:54.104085,181835.828125,177534.1875,175211.578125,207056.375,174109.28125,163171.765625,683856.5,164531.734375,-0.059814453125,0.996826171875,-0.1357421875,0.5187987685203552,0.4577636420726776,1.9226073026657104,100.0,20268.0,1.0
15:29:54.152126,181851.75,177557.4375,175225.34375,207087.046875,174118.40625,163190.453125,683866.125,164542.46875,-0.06005859375,0.996826171875,-0.13525390625,0.6713866591453552,0.3967284858226776,2.014159917831421,100.0,20269.0,1.0
