Timestamp,Fuerza_N
14:59:11.885842,0.0
14:59:11.904035,0.398
14:59:11.917064,0.0
14:59:11.933663,0.398
14:59:11.947821,0.0
14:59:11.969533,0.398
14:59:11.979847,0.398
14:59:11.994045,0.0
14:59:12.019578,0.0
14:59:12.042721,0.398
14:59:12.057247,0.398
14:59:12.073925,0.398
14:59:12.089547,0.398
14:59:12.105301,0.398
14:59:12.119847,0.398
14:59:12.135562,0.398
14:59:12.153674,1.262
14:59:12.169174,1.262
14:59:12.183442,0.398
14:59:12.200085,1.262
14:59:12.214104,1.262
14:59:12.229611,1.262
14:59:12.246166,1.262
14:59:12.261985,1.262
14:59:12.277993,0.398
14:59:12.293000,1.262
14:59:12.308010,1.262
14:59:12.323782,1.262
14:59:12.342071,1.262
14:59:12.359100,1.262
14:59:12.371216,1.262
14:59:12.386996,0.398
14:59:12.401749,0.398
14:59:12.417767,0.398
14:59:12.437872,1.262
14:59:12.463128,0.398
14:59:12.480156,1.262
14:59:12.498006,0.398
14:59:12.510590,0.398
14:59:12.525947,0.398
14:59:12.541705,0.398
14:59:12.557086,0.398
14:59:12.573621,0.398
14:59:12.589611,0.398
14:59:12.614102,0.398
14:59:12.662218,0.398
14:59:12.682446,0.398
14:59:12.698224,0.398
14:59:12.712220,0.398
14:59:12.727493,0.398
14:59:12.748492,0.398
14:59:12.763272,0.398
14:59:12.774253,0.398
14:59:12.797384,0.398
14:59:12.812844,0.398
14:59:12.836264,0.398
14:59:12.853224,0.398
14:59:12.867301,0.398
14:59:12.877858,0.0
14:59:12.899614,0.0
14:59:12.915618,0.398
14:59:12.929154,0.0
14:59:12.941660,0.0
14:59:12.963666,0.0
14:59:12.977246,0.0
14:59:12.991798,0.0
14:59:13.011822,0.0
14:59:13.024200,0.0
14:59:13.041594,0.0
14:59:13.054596,0.0
14:59:13.070509,0.0
14:59:13.093182,0.0
14:59:13.108658,0.0
14:59:13.122977,0.0
14:59:13.151709,0.0
14:59:13.164122,0.0
14:59:13.179773,0.0
14:59:13.195048,0.0
