Timestamp,Fuerza_N
12:03:55.010607,0.933
12:03:55.026146,0.933
12:03:55.041265,0.069
12:03:55.058159,0.933
12:03:55.084086,0.933
12:03:55.100610,0.933
12:03:55.119966,0.933
12:03:55.135490,0.069
12:03:55.154498,0.933
12:03:55.170689,0.933
12:03:55.181774,0.933
12:03:55.195290,0.069
12:03:55.214399,0.933
12:03:55.229037,0.933
12:03:55.244156,0.933
12:03:55.260157,0.069
12:03:55.306374,0.069
12:03:55.402073,0.933
12:03:55.421586,0.933
12:03:55.434131,0.933
12:03:55.449250,0.933
12:03:55.466290,0.069
12:03:55.480291,0.933
12:03:55.494912,0.933
12:03:55.506944,0.933
12:03:55.527408,0.069
12:03:55.542348,0.069
12:03:55.562373,0.069
12:03:55.583367,0.933
12:03:55.635098,0.069
12:03:55.652101,0.069
12:03:55.666982,0.069
12:03:55.681505,0.069
12:03:55.696980,0.069
12:03:55.711464,0.933
12:03:55.737462,0.069
12:03:55.749688,0.069
12:03:55.789272,0.069
12:03:55.828716,0.069
12:03:55.850251,0.069
12:03:55.868548,0.933
12:03:55.884545,0.069
12:03:55.899276,0.069
12:03:55.915526,0.069
12:03:55.939195,0.069
12:03:55.960396,0.069
12:03:55.980497,0.069
12:03:55.993689,0.069
12:03:56.015741,0.069
12:03:56.032280,0.069
12:03:56.052811,0.069
12:03:56.064823,0.069
12:03:56.075852,0.069
12:03:56.102371,0.069
12:03:56.119077,0.069
12:03:56.134199,0.069
12:03:56.149656,0.933
12:03:56.165656,0.069
12:03:56.180589,0.933
12:03:56.196098,0.933
12:03:56.211658,0.069
12:03:56.227346,0.933
12:03:56.242245,0.069
12:03:56.257334,0.069
12:03:56.274005,0.069
12:03:56.290771,0.069
12:03:56.301821,0.069
12:03:56.313825,0.069
12:03:56.347847,0.069
12:03:56.358337,0.069
12:03:56.408811,0.069
12:03:56.450965,0.069
12:03:56.494375,0.069
12:03:56.508318,0.933
12:03:56.524613,0.069
12:03:56.544588,0.933
12:03:56.554629,0.069
12:03:56.568124,0.069
12:03:56.585570,0.069
12:03:56.601204,0.933
12:03:56.618112,0.069
12:03:56.628227,0.069
12:03:56.647594,0.069
12:03:56.664976,0.069
12:03:56.678100,0.069
12:03:56.693911,0.069
12:03:56.709074,0.069
12:03:56.724492,0.069
12:03:56.736080,0.069
12:03:56.750199,0.933
12:03:56.778918,0.069
12:03:56.801886,0.069
12:03:56.816055,0.069
12:03:56.831661,0.933
12:03:56.855215,0.069
12:03:56.938590,0.069
12:03:56.961617,0.933
12:03:56.974216,0.069
12:03:57.003269,0.933
12:03:57.025826,0.069
12:03:57.076077,0.069
12:03:57.097858,0.069
12:03:57.110221,0.933
12:03:57.124599,0.933
12:03:57.143387,0.933
12:03:57.160437,0.933
12:03:57.170168,0.069
12:03:57.202833,0.933
12:03:57.228387,0.933
12:03:57.253060,0.933
12:03:57.280611,0.069
12:03:57.298059,0.069
12:03:57.312317,0.933
12:03:57.360355,0.069
12:03:57.386444,0.933
12:03:57.425598,0.069
12:03:57.442123,0.933
12:03:57.457152,0.933
12:03:57.469283,0.933
12:03:57.485523,0.933
12:03:57.500525,0.933
12:03:57.515312,0.069
12:03:57.531573,0.933
12:03:57.546596,0.933
12:03:57.561450,0.069
12:03:57.625026,0.069
12:03:57.641580,0.069
12:03:57.656585,0.933
12:03:57.672112,0.069
12:03:57.688101,0.069
12:03:57.704138,0.069
12:03:57.723708,0.933
12:03:57.745209,0.069
12:03:57.765006,0.933
12:03:57.780944,0.069
12:03:57.796848,0.933
12:03:57.815076,0.069
12:03:57.828408,0.933
12:03:57.842712,0.069
12:03:57.858166,0.933
12:03:57.874381,0.069
12:03:57.888814,0.069
12:03:57.911740,0.069
12:03:57.934078,0.933
12:03:57.951724,0.933
12:03:57.969265,0.069
12:03:57.984978,0.933
12:03:58.227219,0.933
12:03:58.262335,0.069
12:03:58.281670,0.933
12:03:58.296192,0.933
12:03:58.316205,0.069
12:03:58.342145,0.933
12:03:58.359170,0.933
12:03:58.376709,0.933
12:03:58.389536,0.069
12:03:58.406255,0.933
12:03:58.423331,0.933
12:03:58.452399,0.069
12:03:58.465309,0.933
12:03:58.483375,0.069
12:03:58.520057,0.933
12:03:58.552898,0.933
12:03:58.578635,0.069
12:03:58.590674,0.069
12:03:58.605772,0.933
12:03:58.620864,0.933
12:03:58.636182,0.069
12:03:58.660350,0.933
12:03:58.682174,0.933
12:03:58.699220,0.933
12:03:58.725330,0.069
12:03:58.744590,0.933
12:03:58.770580,0.933
12:03:58.806243,2.662
12:03:58.829750,5.255
12:03:58.870807,11.305
12:03:58.884388,13.033
12:03:58.909935,17.355
12:03:58.928824,19.083
12:03:58.946733,20.812
12:03:58.989851,23.405
12:03:59.010969,24.269
12:03:59.023951,24.269
12:03:59.037035,25.133
12:03:59.055342,25.133
12:03:59.071915,25.998
12:03:59.086827,26.862
12:03:59.102582,27.726
12:03:59.120239,28.591
12:03:59.142791,28.591
12:03:59.167457,31.183
12:03:59.180623,32.048
12:03:59.196684,33.776
12:03:59.210085,34.641
12:03:59.226998,34.641
12:03:59.242482,35.505
12:03:59.260515,36.369
12:03:59.273428,36.369
12:03:59.303069,37.233
12:03:59.323620,38.962
12:03:59.335184,39.826
12:03:59.350197,40.69
12:03:59.365447,41.555
12:03:59.413500,45.876
12:03:59.429525,46.74
12:03:59.469769,48.469
12:03:59.480495,50.198
12:03:59.502872,51.926
12:03:59.521043,54.519
12:03:59.532943,55.383
12:03:59.543951,56.248
12:03:59.563447,57.976
12:03:59.574941,58.84
12:03:59.600062,60.569
12:03:59.615164,61.433
12:03:59.636038,63.162
12:03:59.663959,64.89
12:03:59.687544,64.89
12:03:59.708087,64.026
12:03:59.740415,63.162
12:03:59.756750,61.433
12:03:59.787163,60.569
12:03:59.800668,59.705
12:03:59.811462,59.705
12:03:59.833440,58.84
12:03:59.859477,58.84
12:03:59.882389,58.84
12:03:59.897112,60.569
12:03:59.913115,60.569
12:03:59.923551,61.433
12:03:59.941602,62.298
12:03:59.959356,64.026
12:03:59.975075,65.755
12:03:59.990463,68.348
12:04:00.002957,69.212
12:04:00.023475,70.076
12:04:00.038003,70.94
12:04:00.052004,71.805
12:04:00.067027,72.669
12:04:00.086076,71.805
12:04:00.099382,70.94
12:04:00.110387,70.94
12:04:00.127893,70.076
12:04:00.141574,70.076
12:04:00.154145,69.212
12:04:00.194225,69.212
12:04:00.205738,68.348
12:04:00.224803,67.483
12:04:00.247999,66.619
12:04:00.299572,66.619
12:04:00.315587,65.755
12:04:00.327227,64.89
12:04:00.341654,65.755
12:04:00.355844,64.89
12:04:00.368842,64.89
12:04:00.379369,64.026
12:04:00.397756,64.89
12:04:00.411108,64.89
12:04:00.427039,63.162
12:04:00.442209,62.298
12:04:00.457276,61.433
12:04:00.472409,61.433
12:04:00.488039,61.433
