Timestamp,Fuerza_N
15:43:39.943608,0.933
15:43:39.965155,0.933
15:43:39.984721,0.933
15:43:40.009918,0.933
15:43:40.024969,0.933
15:43:40.040000,0.933
15:43:40.055969,0.933
15:43:40.067480,0.933
15:43:40.087454,0.933
15:43:40.103477,0.933
15:43:40.119987,0.933
15:43:40.135813,0.069
15:43:40.151810,0.933
15:43:40.166826,0.933
15:43:40.177887,0.933
15:43:40.197892,0.933
15:43:40.216410,0.933
15:43:40.228979,0.933
15:43:40.244990,0.933
15:43:40.260548,0.933
15:43:40.275078,0.069
15:43:40.292068,0.069
15:43:40.306075,0.069
15:43:40.321631,0.069
15:43:40.336292,0.069
15:43:40.353293,0.069
15:43:40.368851,0.069
15:43:40.384360,0.069
15:43:40.401361,0.069
15:43:40.415923,0.933
15:43:40.432097,0.933
15:43:40.448148,0.933
15:43:40.462607,0.933
15:43:40.477787,0.933
15:43:40.490786,0.933
15:43:40.508149,0.933
15:43:40.525064,0.933
15:43:40.538062,0.933
15:43:40.554087,0.933
15:43:40.569802,0.069
15:43:40.585111,0.933
15:43:40.602105,0.069
15:43:40.616654,0.933
15:43:40.631711,0.933
15:43:40.647721,0.933
15:43:40.664266,0.933
15:43:40.679837,0.933
15:43:40.694856,0.069
15:43:40.710337,0.933
15:43:40.725545,0.933
15:43:40.740539,0.933
15:43:40.756541,0.069
15:43:40.772925,0.933
15:43:40.789465,0.933
15:43:40.803468,0.069
15:43:40.819355,0.069
15:43:40.836365,0.933
15:43:40.852378,0.069
15:43:40.867474,0.933
15:43:40.884023,0.933
15:43:40.899080,0.933
15:43:40.914948,0.933
15:43:40.930332,0.933
15:43:40.945347,0.069
15:43:40.961309,0.933
15:43:40.977385,0.933
15:43:40.992939,0.933
15:43:41.007440,0.933
15:43:41.024315,0.933
15:43:41.038700,0.933
15:43:41.053707,0.069
15:43:41.069649,0.069
15:43:41.084755,0.933
15:43:41.099757,0.933
15:43:41.118325,0.933
15:43:41.132130,0.933
15:43:41.148158,0.933
15:43:41.163599,0.933
15:43:41.178142,0.933
15:43:41.193166,0.933
15:43:41.209055,0.933
15:43:41.225622,0.933
15:43:41.241657,0.933
15:43:41.255660,0.933
15:43:41.271580,0.933
15:43:41.288086,0.933
15:43:41.304109,0.933
15:43:41.319636,0.933
15:43:41.337231,0.933
15:43:41.350098,0.933
15:43:41.365432,0.933
15:43:41.381243,0.069
15:43:41.396287,0.069
15:43:41.412397,0.933
15:43:41.428223,0.933
15:43:41.442429,0.933
15:43:41.458773,0.933
15:43:41.472323,0.933
15:43:41.489341,0.069
15:43:41.505348,0.933
15:43:41.520824,0.933
15:43:41.534898,0.933
15:43:41.551935,0.933
15:43:41.565935,0.069
15:43:41.583954,0.933
15:43:41.595956,0.933
15:43:41.612277,1.798
15:43:41.627193,1.798
15:43:41.640206,0.933
15:43:41.653219,0.933
15:43:41.673896,0.933
15:43:41.689873,0.933
15:43:41.709890,0.933
15:43:41.749063,0.933
15:43:41.803658,0.933
15:43:41.825034,0.933
15:43:41.887923,0.933
